id,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
102254,10,2,MARKET,INC S.A.,AR-B,SAN ISIDRO,DIEGO CARMAN 451,-34.495405,-58.545723,San Isidro - D. Carman,Supermercado
102255,10,2,MARKET,INC S.A.,AR-B,PERGAMINO,BVARD. ROCHA 1352,-33.902945,-60.568849,Pergamino II,Supermercado
102256,10,2,MARKET,INC S.A.,AR-B,SAN NICOLAS,AV. MORENO 10,-33.335962,-60.222474,San Nicolás II,Supermercado
102258,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. MOSCONI 2861,-34.585933000000004,-58.501809,Villa Pueyrredon,Supermercado
102262,10,2,MARKET,INC S.A.,AR-E,PARANA,GRAL. JOSE MARIA PAZ 1303,-31.741747,-60.541261,Parana J M Paz,Supermercado
102263,10,2,MARKET,INC S.A.,AR-E,PARANA,SANTOS DOMINGUEZ 808,-31.754009000000003,-60.511242,Parana Rocamora,Supermercado
102264,10,2,MARKET,INC S.A.,AR-E,PARANA,MEXICO 404,-31.725619,-60.53368100000001,Paraná (México),Supermercado
102266,10,2,MARKET,INC S.A.,AR-E,PARANA,AV. DON BOSCO NONE,-31.734176,-60.507412,Paraná (Don Bosco),Supermercado
102272,10,2,MARKET,INC S.A.,AR-B,SAN FERNANDO,AV. PDTE. TTE. GRAL. J. D. PERON 1350,-34.441795,-58.553738,San Fernando II,Supermercado
102277,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. RAUL SCALABRINI ORTIZ 1840,-34.589507,-58.422997,Palermo Soler,Supermercado
102278,10,2,MARKET,INC S.A.,AR-B,JOSE LEON SUAREZ,ROSAS 1271,-34.518899,-58.569421,José León Suárez,Supermercado
102282,10,2,MARKET,INC S.A.,AR-M,MENDOZA,AV. COLON 324,-32.894355,-68.845102,Mendoza Colón,Supermercado
102283,10,2,MARKET,INC S.A.,AR-M,MENDOZA,AV. LAS HERAS 306,-32.885582,-68.84228,Mendoza Las Heras,Supermercado
102285,10,2,MARKET,INC S.A.,AR-M,MENDOZA,AV. SAN MARTIN 1333,-32.888123,-68.838726,Mendoza Tunuyán,Supermercado
102286,10,2,MARKET,INC S.A.,AR-M,TUPUNGATO,AVENIDA BELGRANO 1170,-33.364039,-69.144079,Mendoza Tupungato,Supermercado
